name,type,category,description,location,eligibility
Doon Seva Trust,ngo,Food,Free food distribution for daily wage workers and poor families,Dehradun,Low income families
Doon Health Mission,ngo,Healthcare,Free medical checkups and medicines for underprivileged people,Dehradun,Open to all
Uttarakhand Shiksha Samiti,ngo,Education,Free coaching and study support for students,Dehradun,Students
Himalayan Women Welfare,ngo,Women,Skill development and empowerment programs for women,Dehradun,Women
Doon Food Relief,ngo,Food,Daily food distribution for homeless and migrant workers,Dehradun,Anyone in need
Seva Uttarakhand Foundation,ngo,Social,Support programs for rural and low income families,Haridwar,Low income families
Dehradun Child Care Trust,ngo,Child Welfare,Education and protection support for children,Dehradun,Children
Green Hills Foundation,ngo,Social,Community support and environmental awareness programs,Rishikesh,Open to all
Uttarakhand Medical Camp,ngo,Healthcare,Free health camps and treatment support,Haldwani,Open to all
Youth Uplift Uttarakhand,ngo,Education,Skill development and career guidance for youth,Dehradun,Youth
Meerut Seva Samiti,ngo,Food,Free food distribution for poor families and daily workers,Meerut,Low income families
Lucknow Health Camp,ngo,Healthcare,Free health checkups and medicines for underprivileged people,Lucknow,Open to all
Kanpur Shiksha Kendra,ngo,Education,Free coaching classes and study support for students,Kanpur,Students
Noida Women Support Group,ngo,Women,Skill training and support programs for women,Noida,Women
Varanasi Food Seva,ngo,Food,Daily food distribution for homeless and needy people,Varanasi,Anyone in need
Ghaziabad Seva Group,ngo,Food,Free ration distribution for poor families,Ghaziabad,Low income families
Agra Health Support,ngo,Healthcare,Free medical support and health awareness programs,Agra,Open to all
Bareilly Education Trust,ngo,Education,Free tuition and learning programs for students,Bareilly,Students
Aligarh Women Support,ngo,Women,Support and employment programs for women,Aligarh,Women
Moradabad Food Bank,ngo,Food,Food distribution for daily wage workers and homeless,Moradabad,Anyone in need
Saharanpur Social Welfare,ngo,Social,Support services for underprivileged communities,Saharanpur,Low income groups
Prayagraj Legal Aid,ngo,Legal,Free legal assistance and advice for poor families,Prayagraj,Anyone in need
Gorakhpur Child Support,ngo,Child Welfare,Education and nutrition programs for children,Gorakhpur,Children
Meerut Health Mission,ngo,Healthcare,Free checkups and medicines for needy people,Meerut,Open to all
Kanpur Skill Development,ngo,Education,Skill training and job support programs,Kanpur,Youth
Gurgaon Food Bank,ngo,Food,Free meals and ration for daily workers,Gurgaon,Low income families
Faridabad Health Drive,ngo,Healthcare,Free health checkups and awareness programs,Faridabad,Open to all
Panipat Education Mission,ngo,Education,Free education support for students,Panipat,Students
Sonipat Women Empowerment,ngo,Women,Skill training programs for women,Sonipat,Women
Rohtak Social Welfare,ngo,Social,Support for underprivileged families,Rohtak,Low income families
Karnal Medical Aid,ngo,Healthcare,Free treatment support and medicines,Karnal,Open to all
Hisar Food Relief,ngo,Food,Food distribution for poor and homeless,Hisar,Anyone in need
Ambala Child Care,ngo,Child Welfare,Support programs for child development,Ambala,Children
Yamunanagar Education Support,ngo,Education,Free coaching for school students,Yamunanagar,Students
Bhiwani Women Support,ngo,Women,Women empowerment and employment programs,Bhiwani,Women
Delhi Food Connect,ngo,Food,Food distribution for urban poor,Delhi,Low income families
Delhi Health Outreach,ngo,Healthcare,Medical camps and health awareness,Delhi,Open to all
Noida Youth Skill Hub,ngo,Education,Skill training and career programs,Noida,Youth
Ghaziabad Legal Help,ngo,Legal,Free legal advice for needy families,Ghaziabad,Anyone in need
Delhi Women Care,ngo,Women,Support and training for women,Delhi,Women
NCR Child Support,ngo,Child Welfare,Child education and care programs,Delhi NCR,Children
Delhi Social Welfare Trust,ngo,Social,Support for low income communities,Delhi,Low income families
Noida Food Distribution,ngo,Food,Daily food support for workers,Noida,Anyone in need
Delhi Medical Support,ngo,Healthcare,Basic healthcare services for poor,Delhi,Open to all
NCR Education Initiative,ngo,Education,Free coaching and study programs,Delhi NCR,Students
